Date,Country,Vehicle,Battle type,BR,Place on team,W/L,Squad?,all kills,Assists ,Deaths,AI Targets,Bomb Target Tons,Caps,Mission Points,Activity,Duration,SL w/ boost,RP w/ boost (yellow),Important Trophies,SL,RP,RP in range,SL booster,RP booster,Map,Type,map suck?,upteired?,Task,Completion,Special,Completion
,US,Air,AB,2.7,,L,,6,2,0,0,0,0,,,,6992,1836,,6992,1836,yes,0,0,,,,,,,,
,Sweden,Air,AB,4.0,,W,,1,0,0,0,5.06,0,,,,32701,5812,,32701,4471,yes,0,30,,,,,,,,
,Sweden,Air,AB,4.0,,L,,3,2,3,0,2.06,0,,,,492,3303,,492,2541,yes,0,30,,,,,,,,
,USSR,Ground,RB,4.3,,W,,4,0,2,0,0,0,,,,18217,5036,,18217,3874,yes,0,30,,,,,,,,
,USSR,Ground,RB,4.3,,L,,3,1,2,0,0,0,,,,10872,2620,,10872,2015,yes,0,30,,,,,,,,
,US,Naval,AB,3.0,11,W,,1,2,0,0,0,0,,,,5131,1626,,5131,1251,no,0,30,,,,,,,,
,US,Navel, AB,3.0,7,W,,3,2,0,0,0,0,,,,12531,1210,,12531,1210,no,0,0,,,,,,,,
,US,Air,AB,3.7,4,L,,5,3,4,2,0,0,,,,16399,5964,,16399,5964,yes,0,0,,,,,,,,
,US,Air,AB,3.7,7,W,,2,2,0,0,0,0,,,,6788,3082,,6788,3082,yes,0,0,,,,,,,,
,Swedish,Air,AB,2.0,3,L,,2,0,2,14,0,0,,,,5390,1046,,5390,1046,no,0,0,,,,,,,,
,Swedish,Air,AB,2.0,4,L,,0,5,1,2,0,0,,,,2119,656,,2119,656,no,0,0,,,,,,,,
,Swedish,Air,AB,2.0,13,W,,0,0,1,8,0,0,,,,3039,1138,,3039,1138,no,0,0,,,,,,,,
,Swedish,Air,AB,2.0,1,W,,4,0,2,25,0,0,,,,26558,2352,,26558,2352,no,0,0,,,,,,,,
,Swedish,Air,AB,2.0,4,L,,1,1,1,9,0,0,,,,6076,838,,6076,838,no,0,0,,,,,,,,
,US,Naval,AB,5.7,6,W,,6,0,5,0,0,0,,,,73358,7284,,24453,4162,yes,200,75,,,,,,,,
,German,Air,AB,5.3,7,L,,2,1,3,0,1,0,,,,13046,2435,,7455,1391,yes,75,75,,,,,,,,
,German,Air,AB,5.3,12,W,,1,0,1,0,0,0,,,,7687,1112,,4393,1112,yes,75,0,,,,,,,,
,German,Air,AB,5.3,3,L,,3,2,3,0,0,0,,,,14573,1692,,8327,1471,yes,75,15,,,,,,,,
,USSR,Air,AB,4.0,12,W,,4,0,0,0,0,0,,,,22655,2809,,12946,2443,yes,75,15,,,,,,,,
,GB,Air,AB,3.7,5,W,,4,1,2,0,0,0,,,,24960,2960,,14263,2574,yes,75,15,,,,,,,,
,China,Air,AB,3.7,5,W,,4,0,2,0,0,0,,,,33750,2900,,13500,2522,yes,150,15,,,,,,,,
